OSD.latitude,OSD.longitude,OSD.height [ft],OSD.pitch,OSD.yaw [360],GIMBAL.pitch
13.1937851,-59.64174124,21,-3.3,29.8,-42.5
13.19378499,-59.64174125,21,-3.2,26.1,-42.5
13.193785,-59.64174129,21,-2.8,22.4,-42.5
13.19378501,-59.64174143,21,-1.9,18.8,-42.5
13.19378503,-59.64174151,21,-0.7,14.9,-42.5
13.19378501,-59.64174153,21,-2.3,10.8,-42.5
13.19378499,-59.64174151,21,-3.7,7,-42.5
13.19378483,-59.64174165,21,-2.3,3.2,-42.5
13.19378489,-59.64174164,21,-0.8,359.6,-42.5
13.19378485,-59.64174166,21,-0.6,355.7,-42.5
13.19378483,-59.64174169,21,-1.5,351.8,-42.5
13.19378492,-59.64174163,21,-1.8,347.9,-42.5
13.19378495,-59.64174162,21,-1,344.3,-42.5
13.19378486,-59.64174176,21,-0.4,340.4,-42.5
13.19378485,-59.64174178,21,-0.5,336.4,-42.5
13.1937849,-59.64174188,21,-1.1,332.8,-42.5
13.19378495,-59.64174188,20,-0.5,329.2,-42.5
13.19378507,-59.64174199,20,0.6,326.4,-42.5
13.19378514,-59.64174201,20,1.4,324.3,-42.5
13.19378515,-59.64174207,20,1.6,322.2,-42.5
13.19378518,-59.64174208,20,1.2,320.3,-42.5
13.19378526,-59.64174208,20,1,318.6,-42.5
13.19378529,-59.64174208,20,1,317.3,-42.5
13.19378524,-59.64174203,20,1,316.3,-42.5
13.19378525,-59.64174201,20,0.6,315.2,-42.5
13.19378509,-59.64174206,21,1.3,313.8,-42.5
13.19378508,-59.64174207,20,1.3,311.7,-42.5
13.19378493,-59.64174205,20,1.2,309.5,-42.5
13.19378488,-59.64174205,20,1,307,-42.5
13.19378491,-59.64174191,20,0,304.4,-42.5
13.19378485,-59.64174188,20,0,301.7,-42.5
13.19378472,-59.64174183,20,-0.1,298.9,-42.5
13.1937847,-59.64174184,20,-0.2,296.3,-42.5
13.19378477,-59.64174199,20,1.3,293.3,-42.5
13.19378474,-59.64174207,20,1.3,291.9,-42.5
13.19378471,-59.64174211,20,2.5,291.7,-42.5
13.19378475,-59.6417422,20,4.1,290.8,-42.5
13.19378475,-59.64174223,20,5.7,290.3,-42.5
13.19378475,-59.64174229,20,15.2,290.5,-42.5
